"MonthEnding","HBT","DiagnosticTestType","DiagnosticTestDescription","NumberOnList","NumberOnListQF","NumberWaitingOverFourWeeks","NumberWaitingOverFourWeeksQF","NumberWaitingOverSixWeeks","NumberWaitingOverSixWeeksQF"
"20130430","S08000019","Imaging","Magnetic Resonance Imaging",478,"",70,"",6,""
"20130531","S08000019","Imaging","Magnetic Resonance Imaging",493,"",113,"",4,""
"20130630","S08000019","Imaging","Magnetic Resonance Imaging",535,"",90,"",22,""
"20130731","S08000019","Imaging","Magnetic Resonance Imaging",587,"",177,"",28,""
"20130831","S08000019","Imaging","Magnetic Resonance Imaging",630,"",188,"",53,""
"20130930","S08000019","Imaging","Magnetic Resonance Imaging",681,"",216,"",76,""
"20131031","S08000019","Imaging","Magnetic Resonance Imaging",640,"",159,"",36,""
"20131130","S08000019","Imaging","Magnetic Resonance Imaging",565,"",80,"",0,""
"20131231","S08000019","Imaging","Magnetic Resonance Imaging",477,"",87,"",0,""
"20140131","S08000019","Imaging","Magnetic Resonance Imaging",400,"",2,"",0,""
"20140228","S08000019","Imaging","Magnetic Resonance Imaging",458,"",11,"",0,""
"20140331","S08000019","Imaging","Magnetic Resonance Imaging",520,"",23,"",0,""
"20140430","S08000019","Imaging","Magnetic Resonance Imaging",457,"",8,"",0,""
"20140531","S08000019","Imaging","Magnetic Resonance Imaging",579,"",77,"",0,""
"20140630","S08000019","Imaging","Magnetic Resonance Imaging",596,"",98,"",0,""
"20140731","S08000019","Imaging","Magnetic Resonance Imaging",479,"",28,"",0,""
"20140831","S08000019","Imaging","Magnetic Resonance Imaging",411,"",39,"",0,""
"20140930","S08000019","Imaging","Magnetic Resonance Imaging",482,"",36,"",0,""
"20141031","S08000019","Imaging","Magnetic Resonance Imaging",400,"",18,"",0,""
"20141130","S08000019","Imaging","Magnetic Resonance Imaging",437,"",3,"",0,""
"20141231","S08000019","Imaging","Magnetic Resonance Imaging",402,"",7,"",0,""
"20150131","S08000019","Imaging","Magnetic Resonance Imaging",361,"",0,"",0,""
"20150228","S08000019","Imaging","Magnetic Resonance Imaging",475,"",2,"",0,""
"20150331","S08000019","Imaging","Magnetic Resonance Imaging",592,"",52,"",0,""
"20150430","S08000019","Imaging","Magnetic Resonance Imaging",620,"",105,"",0,""
"20150531","S08000019","Imaging","Magnetic Resonance Imaging",566,"",25,"",0,""
"20150630","S08000019","Imaging","Magnetic Resonance Imaging",594,"",75,"",0,""
"20150731","S08000019","Imaging","Magnetic Resonance Imaging",546,"",78,"",0,""
"20150831","S08000019","Imaging","Magnetic Resonance Imaging",491,"",10,"",0,""
"20150930","S08000019","Imaging","Magnetic Resonance Imaging",467,"",24,"",0,""
"20151031","S08000019","Imaging","Magnetic Resonance Imaging",476,"",29,"",0,""
"20151130","S08000019","Imaging","Magnetic Resonance Imaging",371,"",5,"",0,""
"20151231","S08000019","Imaging","Magnetic Resonance Imaging",362,"",13,"",0,""
"20160131","S08000019","Imaging","Magnetic Resonance Imaging",327,"",2,"",0,""
"20160229","S08000019","Imaging","Magnetic Resonance Imaging",437,"",3,"",0,""
"20160331","S08000019","Imaging","Magnetic Resonance Imaging",337,"",4,"",0,""
"20160430","S08000019","Imaging","Magnetic Resonance Imaging",461,"",11,"",0,""
"20160531","S08000019","Imaging","Magnetic Resonance Imaging",463,"",17,"",0,""
"20160630","S08000019","Imaging","Magnetic Resonance Imaging",502,"",14,"",0,""
"20160731","S08000019","Imaging","Magnetic Resonance Imaging",496,"",29,"",0,""
"20160831","S08000019","Imaging","Magnetic Resonance Imaging",484,"",6,"",0,""
"20160930","S08000019","Imaging","Magnetic Resonance Imaging",551,"",29,"",0,""
"20161031","S08000019","Imaging","Magnetic Resonance Imaging",574,"",28,"",0,""
"20161130","S08000019","Imaging","Magnetic Resonance Imaging",507,"",8,"",0,""
"20161231","S08000019","Imaging","Magnetic Resonance Imaging",457,"",15,"",0,""
"20170131","S08000019","Imaging","Magnetic Resonance Imaging",430,"",3,"",0,""
"20170228","S08000019","Imaging","Magnetic Resonance Imaging",477,"",40,"",0,""
"20170331","S08000019","Imaging","Magnetic Resonance Imaging",465,"",16,"",0,""
"20170430","S08000019","Imaging","Magnetic Resonance Imaging",465,"",16,"",0,""
"20170531","S08000019","Imaging","Magnetic Resonance Imaging",541,"",27,"",0,""
"20170630","S08000019","Imaging","Magnetic Resonance Imaging",656,"",85,"",0,""
"20170731","S08000019","Imaging","Magnetic Resonance Imaging",569,"",51,"",0,""
"20170831","S08000019","Imaging","Magnetic Resonance Imaging",645,"",77,"",0,""
"20170930","S08000019","Imaging","Magnetic Resonance Imaging",505,"",35,"",0,""
"20171031","S08000019","Imaging","Magnetic Resonance Imaging",432,"",7,"",0,""
"20171130","S08000019","Imaging","Magnetic Resonance Imaging",471,"",4,"",0,""
"20171231","S08000019","Imaging","Magnetic Resonance Imaging",390,"",35,"",0,""
"20180131","S08000019","Imaging","Magnetic Resonance Imaging",385,"",0,"",0,""
"20180228","S08000019","Imaging","Magnetic Resonance Imaging",565,"",21,"",0,""
"20180331","S08000019","Imaging","Magnetic Resonance Imaging",568,"",19,"",0,""
"20180430","S08000019","Imaging","Magnetic Resonance Imaging",670,"",66,"",0,""
"20180531","S08000019","Imaging","Magnetic Resonance Imaging",634,"",86,"",2,""
"20180630","S08000019","Imaging","Magnetic Resonance Imaging",668,"",47,"",0,""
"20180731","S08000019","Imaging","Magnetic Resonance Imaging",645,"",47,"",0,""
"20180831","S08000019","Imaging","Magnetic Resonance Imaging",593,"",45,"",0,""
"20180930","S08000019","Imaging","Magnetic Resonance Imaging",586,"",30,"",0,""
"20181031","S08000019","Imaging","Magnetic Resonance Imaging",610,"",52,"",0,""
"20181130","S08000019","Imaging","Magnetic Resonance Imaging",551,"",24,"",0,""
"20181231","S08000019","Imaging","Magnetic Resonance Imaging",585,"",77,"",0,""
"20190131","S08000019","Imaging","Magnetic Resonance Imaging",603,"",8,"",0,""
"20190228","S08000019","Imaging","Magnetic Resonance Imaging",816,"",139,"",0,""
"20190331","S08000019","Imaging","Magnetic Resonance Imaging",829,"",151,"",2,""
"20190430","S08000019","Imaging","Magnetic Resonance Imaging",718,"",163,"",5,""
"20190531","S08000019","Imaging","Magnetic Resonance Imaging",737,"",160,"",29,""
"20190630","S08000019","Imaging","Magnetic Resonance Imaging",741,"",146,"",43,""
"20190731","S08000019","Imaging","Magnetic Resonance Imaging",636,"",152,"",49,""
"20190831","S08000019","Imaging","Magnetic Resonance Imaging",560,"",142,"",55,""
"20190930","S08000019","Imaging","Magnetic Resonance Imaging",465,"",68,"",12,""
"20191031","S08000019","Imaging","Magnetic Resonance Imaging",460,"",18,"",4,""
"20191130","S08000019","Imaging","Magnetic Resonance Imaging",396,"",5,"",0,""
"20191231","S08000019","Imaging","Magnetic Resonance Imaging",453,"",60,"",0,""
"20200131","S08000019","Imaging","Magnetic Resonance Imaging",727,"",2,"",0,""
"20200229","S08000019","Imaging","Magnetic Resonance Imaging",429,"",14,"",0,""
"20200331","S08000019","Imaging","Magnetic Resonance Imaging",159,"",1,"",0,""
"20200430","S08000019","Imaging","Magnetic Resonance Imaging",208,"",80,"",30,""
"20200531","S08000019","Imaging","Magnetic Resonance Imaging",268,"",45,"",31,""
"20200630","S08000019","Imaging","Magnetic Resonance Imaging",388,"",58,"",17,""
"20200731","S08000019","Imaging","Magnetic Resonance Imaging",407,"",43,"",6,""
"20200831","S08000019","Imaging","Magnetic Resonance Imaging",277,"",7,"",0,""
"20200930","S08000019","Imaging","Magnetic Resonance Imaging",436,"",1,"",0,""
"20201031","S08000019","Imaging","Magnetic Resonance Imaging",442,"",38,"",0,""
"20201130","S08000019","Imaging","Magnetic Resonance Imaging",349,"",1,"",0,""
"20201231","S08000019","Imaging","Magnetic Resonance Imaging",247,"",2,"",0,""
"20210131","S08000019","Imaging","Magnetic Resonance Imaging",276,"",1,"",0,""
"20210228","S08000019","Imaging","Magnetic Resonance Imaging",421,"",3,"",0,""
"20210331","S08000019","Imaging","Magnetic Resonance Imaging",611,"",48,"",0,""
"20210430","S08000019","Imaging","Magnetic Resonance Imaging",635,"",90,"",0,""
"20210531","S08000019","Imaging","Magnetic Resonance Imaging",596,"",16,"",0,""
"20210630","S08000019","Imaging","Magnetic Resonance Imaging",638,"",75,"",0,""
"20210731","S08000019","Imaging","Magnetic Resonance Imaging",513,"",34,"",0,""
"20210831","S08000019","Imaging","Magnetic Resonance Imaging",423,"",17,"",0,""
"20210930","S08000019","Imaging","Magnetic Resonance Imaging",376,"",6,"",0,""
"20070930","S08000019","Imaging","Non-obstetric ultrasound",866,"",331,"",70,""
"20071231","S08000019","Imaging","Non-obstetric ultrasound",380,"",115,"",18,""
"20080131","S08000019","Imaging","Non-obstetric ultrasound",583,"",18,"",10,""
"20080229","S08000019","Imaging","Non-obstetric ultrasound",720,"",68,"",14,""
"20080331","S08000019","Imaging","Non-obstetric ultrasound",695,"",95,"",15,""
"20080430","S08000019","Imaging","Non-obstetric ultrasound",549,"",31,"",2,""
"20080531","S08000019","Imaging","Non-obstetric ultrasound",408,"",17,"",0,""
"20080630","S08000019","Imaging","Non-obstetric ultrasound",436,"",3,"",0,""
"20080731","S08000019","Imaging","Non-obstetric ultrasound",475,"",2,"",0,""
"20080831","S08000019","Imaging","Non-obstetric ultrasound",469,"",0,"",0,""
"20080930","S08000019","Imaging","Non-obstetric ultrasound",507,"",2,"",0,""
"20081031","S08000019","Imaging","Non-obstetric ultrasound",650,"",94,"",0,""
"20081130","S08000019","Imaging","Non-obstetric ultrasound",759,"",88,"",0,""
"20081231","S08000019","Imaging","Non-obstetric ultrasound",704,"",147,"",0,""
"20090131","S08000019","Imaging","Non-obstetric ultrasound",698,"",1,"",0,""
"20090228","S08000019","Imaging","Non-obstetric ultrasound",512,"",0,"",0,""
"20090331","S08000019","Imaging","Non-obstetric ultrasound",726,"",0,"",0,""
"20090430","S08000019","Imaging","Non-obstetric ultrasound",774,"",127,"",0,""
"20090531","S08000019","Imaging","Non-obstetric ultrasound",1022,"",235,"",0,""
"20090630","S08000019","Imaging","Non-obstetric ultrasound",776,"",111,"",0,""
"20090731","S08000019","Imaging","Non-obstetric ultrasound",740,"",60,"",0,""
"20090831","S08000019","Imaging","Non-obstetric ultrasound",728,"",0,"",0,""
"20090930","S08000019","Imaging","Non-obstetric ultrasound",755,"",35,"",0,""
"20091031","S08000019","Imaging","Non-obstetric ultrasound",609,"",0,"",0,""
"20091130","S08000019","Imaging","Non-obstetric ultrasound",588,"",0,"",0,""
"20091231","S08000019","Imaging","Non-obstetric ultrasound",596,"",0,"",0,""
"20100131","S08000019","Imaging","Non-obstetric ultrasound",658,"",0,"",0,""
"20100228","S08000019","Imaging","Non-obstetric ultrasound",742,"",0,"",0,""
"20100331","S08000019","Imaging","Non-obstetric ultrasound",855,"",0,"",0,""
"20100430","S08000019","Imaging","Non-obstetric ultrasound",806,"",0,"",0,""
"20100531","S08000019","Imaging","Non-obstetric ultrasound",814,"",0,"",0,""
"20100630","S08000019","Imaging","Non-obstetric ultrasound",725,"",0,"",0,""
"20100731","S08000019","Imaging","Non-obstetric ultrasound",630,"",0,"",0,""
"20100831","S08000019","Imaging","Non-obstetric ultrasound",612,"",0,"",0,""
"20100930","S08000019","Imaging","Non-obstetric ultrasound",767,"",0,"",0,""
"20101031","S08000019","Imaging","Non-obstetric ultrasound",805,"",0,"",0,""
"20101130","S08000019","Imaging","Non-obstetric ultrasound",827,"",0,"",0,""
"20101231","S08000019","Imaging","Non-obstetric ultrasound",764,"",4,"",0,""
"20110131","S08000019","Imaging","Non-obstetric ultrasound",712,"",0,"",0,""
"20110228","S08000019","Imaging","Non-obstetric ultrasound",795,"",0,"",0,""
"20110331","S08000019","Imaging","Non-obstetric ultrasound",985,"",28,"",0,""
"20110430","S08000019","Imaging","Non-obstetric ultrasound",940,"",27,"",0,""
"20110531","S08000019","Imaging","Non-obstetric ultrasound",832,"",2,"",0,""
"20110630","S08000019","Imaging","Non-obstetric ultrasound",645,"",0,"",0,""
"20110731","S08000019","Imaging","Non-obstetric ultrasound",510,"",0,"",0,""
"20110831","S08000019","Imaging","Non-obstetric ultrasound",495,"",7,"",0,""
"20110930","S08000019","Imaging","Non-obstetric ultrasound",559,"",0,"",0,""
"20111031","S08000019","Imaging","Non-obstetric ultrasound",488,"",0,"",0,""
"20111130","S08000019","Imaging","Non-obstetric ultrasound",539,"",0,"",0,""
"20111231","S08000019","Imaging","Non-obstetric ultrasound",576,"",0,"",0,""
"20120131","S08000019","Imaging","Non-obstetric ultrasound",669,"",0,"",0,""
"20120229","S08000019","Imaging","Non-obstetric ultrasound",976,"",6,"",0,""
"20120331","S08000019","Imaging","Non-obstetric ultrasound",1312,"",197,"",0,""
"20120430","S08000019","Imaging","Non-obstetric ultrasound",918,"",49,"",20,""
"20120531","S08000019","Imaging","Non-obstetric ultrasound",569,"",31,"",8,""
"20120630","S08000019","Imaging","Non-obstetric ultrasound",551,"",84,"",36,""
"20120731","S08000019","Imaging","Non-obstetric ultrasound",592,"",86,"",47,""
"20120831","S08000019","Imaging","Non-obstetric ultrasound",729,"",111,"",66,""
"20120930","S08000019","Imaging","Non-obstetric ultrasound",743,"",116,"",66,""
"20121031","S08000019","Imaging","Non-obstetric ultrasound",810,"",157,"",84,""
"20121130","S08000019","Imaging","Non-obstetric ultrasound",1049,"",183,"",136,""
"20121231","S08000019","Imaging","Non-obstetric ultrasound",1251,"",416,"",89,""
"20130131","S08000019","Imaging","Non-obstetric ultrasound",1388,"",358,"",201,""
"20130228","S08000019","Imaging","Non-obstetric ultrasound",1445,"",355,"",70,""
"20130331","S08000019","Imaging","Non-obstetric ultrasound",1611,"",556,"",137,""
"20130430","S08000019","Imaging","Non-obstetric ultrasound",1389,"",378,"",87,""
"20130531","S08000019","Imaging","Non-obstetric ultrasound",1109,"",114,"",0,""
"20130630","S08000019","Imaging","Non-obstetric ultrasound",1106,"",88,"",2,""
"20130731","S08000019","Imaging","Non-obstetric ultrasound",1019,"",75,"",2,""
"20130831","S08000019","Imaging","Non-obstetric ultrasound",1057,"",20,"",8,""
"20130930","S08000019","Imaging","Non-obstetric ultrasound",1118,"",145,"",0,""
"20131031","S08000019","Imaging","Non-obstetric ultrasound",933,"",54,"",4,""
"20131130","S08000019","Imaging","Non-obstetric ultrasound",1010,"",35,"",0,""
"20131231","S08000019","Imaging","Non-obstetric ultrasound",796,"",100,"",2,""
"20140131","S08000019","Imaging","Non-obstetric ultrasound",831,"",22,"",1,""
"20140228","S08000019","Imaging","Non-obstetric ultrasound",698,"",2,"",0,""
"20140331","S08000019","Imaging","Non-obstetric ultrasound",965,"",10,"",1,""
"20140430","S08000019","Imaging","Non-obstetric ultrasound",782,"",33,"",0,""
"20140531","S08000019","Imaging","Non-obstetric ultrasound",851,"",2,"",0,""
"20140630","S08000019","Imaging","Non-obstetric ultrasound",975,"",31,"",0,""
"20140731","S08000019","Imaging","Non-obstetric ultrasound",814,"",29,"",1,""
"20140831","S08000019","Imaging","Non-obstetric ultrasound",605,"",17,"",0,""
"20140930","S08000019","Imaging","Non-obstetric ultrasound",759,"",5,"",0,""
"20141031","S08000019","Imaging","Non-obstetric ultrasound",675,"",7,"",0,""
"20141130","S08000019","Imaging","Non-obstetric ultrasound",737,"",6,"",0,""
"20141231","S08000019","Imaging","Non-obstetric ultrasound",577,"",5,"",0,""
"20150131","S08000019","Imaging","Non-obstetric ultrasound",529,"",1,"",0,""
"20150228","S08000019","Imaging","Non-obstetric ultrasound",638,"",1,"",0,""
"20150331","S08000019","Imaging","Non-obstetric ultrasound",586,"",2,"",0,""
"20150430","S08000019","Imaging","Non-obstetric ultrasound",519,"",4,"",0,""
"20150531","S08000019","Imaging","Non-obstetric ultrasound",724,"",2,"",0,""
"20150630","S08000019","Imaging","Non-obstetric ultrasound",779,"",5,"",0,""
"20150731","S08000019","Imaging","Non-obstetric ultrasound",622,"",19,"",0,""
"20150831","S08000019","Imaging","Non-obstetric ultrasound",637,"",4,"",0,""
"20150930","S08000019","Imaging","Non-obstetric ultrasound",492,"",3,"",0,""
"20151031","S08000019","Imaging","Non-obstetric ultrasound",615,"",22,"",1,""
"20151130","S08000019","Imaging","Non-obstetric ultrasound",728,"",15,"",0,""
"20151231","S08000019","Imaging","Non-obstetric ultrasound",822,"",21,"",0,""
"20160131","S08000019","Imaging","Non-obstetric ultrasound",849,"",11,"",0,""
"20160229","S08000019","Imaging","Non-obstetric ultrasound",949,"",1,"",0,""
"20160331","S08000019","Imaging","Non-obstetric ultrasound",1238,"",103,"",9,""
"20160430","S08000019","Imaging","Non-obstetric ultrasound",1402,"",328,"",61,""
"20160531","S08000019","Imaging","Non-obstetric ultrasound",1449,"",177,"",0,""
"20160630","S08000019","Imaging","Non-obstetric ultrasound",1110,"",33,"",0,""
"20160731","S08000019","Imaging","Non-obstetric ultrasound",1044,"",34,"",0,""
"20160831","S08000019","Imaging","Non-obstetric ultrasound",1125,"",3,"",0,""
"20160930","S08000019","Imaging","Non-obstetric ultrasound",1189,"",47,"",0,""
"20161031","S08000019","Imaging","Non-obstetric ultrasound",1202,"",29,"",0,""
"20161130","S08000019","Imaging","Non-obstetric ultrasound",1229,"",40,"",0,""
"20161231","S08000019","Imaging","Non-obstetric ultrasound",1253,"",136,"",0,""
"20170131","S08000019","Imaging","Non-obstetric ultrasound",1096,"",27,"",0,""
"20170228","S08000019","Imaging","Non-obstetric ultrasound",1063,"",2,"",0,""
"20170331","S08000019","Imaging","Non-obstetric ultrasound",1280,"",24,"",0,""
"20170430","S08000019","Imaging","Non-obstetric ultrasound",1280,"",24,"",0,""
"20170531","S08000019","Imaging","Non-obstetric ultrasound",1055,"",19,"",0,""
"20170630","S08000019","Imaging","Non-obstetric ultrasound",1179,"",24,"",0,""
"20170731","S08000019","Imaging","Non-obstetric ultrasound",1126,"",57,"",0,""
"20170831","S08000019","Imaging","Non-obstetric ultrasound",1176,"",37,"",0,""
"20170930","S08000019","Imaging","Non-obstetric ultrasound",1040,"",29,"",0,""
"20171031","S08000019","Imaging","Non-obstetric ultrasound",1162,"",47,"",0,""
"20171130","S08000019","Imaging","Non-obstetric ultrasound",1170,"",27,"",0,""
"20171231","S08000019","Imaging","Non-obstetric ultrasound",1258,"",225,"",0,""
"20180131","S08000019","Imaging","Non-obstetric ultrasound",1318,"",8,"",0,""
"20180228","S08000019","Imaging","Non-obstetric ultrasound",1404,"",92,"",0,""
"20180331","S08000019","Imaging","Non-obstetric ultrasound",1431,"",178,"",1,""
"20180430","S08000019","Imaging","Non-obstetric ultrasound",1432,"",184,"",1,""
"20180531","S08000019","Imaging","Non-obstetric ultrasound",1506,"",210,"",1,""
"20180630","S08000019","Imaging","Non-obstetric ultrasound",1367,"",224,"",1,""
"20180731","S08000019","Imaging","Non-obstetric ultrasound",1215,"",75,"",0,""
"20180831","S08000019","Imaging","Non-obstetric ultrasound",1299,"",94,"",0,""
"20180930","S08000019","Imaging","Non-obstetric ultrasound",1184,"",58,"",0,""
"20181031","S08000019","Imaging","Non-obstetric ultrasound",1252,"",123,"",0,""
"20181130","S08000019","Imaging","Non-obstetric ultrasound",1381,"",171,"",0,""
"20181231","S08000019","Imaging","Non-obstetric ultrasound",1353,"",297,"",0,""
"20190131","S08000019","Imaging","Non-obstetric ultrasound",1293,"",62,"",0,""
"20190228","S08000019","Imaging","Non-obstetric ultrasound",1376,"",111,"",0,""
"20190331","S08000019","Imaging","Non-obstetric ultrasound",1566,"",185,"",0,""
"20190430","S08000019","Imaging","Non-obstetric ultrasound",1414,"",260,"",0,""
"20190531","S08000019","Imaging","Non-obstetric ultrasound",1283,"",120,"",0,""
"20190630","S08000019","Imaging","Non-obstetric ultrasound",1091,"",34,"",0,""
"20190731","S08000019","Imaging","Non-obstetric ultrasound",999,"",9,"",0,""
"20190831","S08000019","Imaging","Non-obstetric ultrasound",1029,"",21,"",0,""
"20190930","S08000019","Imaging","Non-obstetric ultrasound",1231,"",46,"",0,""
"20191031","S08000019","Imaging","Non-obstetric ultrasound",1209,"",65,"",0,""
"20191130","S08000019","Imaging","Non-obstetric ultrasound",1466,"",200,"",0,""
"20191231","S08000019","Imaging","Non-obstetric ultrasound",1332,"",307,"",1,""
"20200131","S08000019","Imaging","Non-obstetric ultrasound",1254,"",66,"",2,""
"20200229","S08000019","Imaging","Non-obstetric ultrasound",1100,"",25,"",0,""
"20200331","S08000019","Imaging","Non-obstetric ultrasound",852,"",229,"",2,""
"20200430","S08000019","Imaging","Non-obstetric ultrasound",943,"",676,"",519,""
"20200531","S08000019","Imaging","Non-obstetric ultrasound",454,"",132,"",112,""
"20200630","S08000019","Imaging","Non-obstetric ultrasound",446,"",32,"",23,""
"20200731","S08000019","Imaging","Non-obstetric ultrasound",886,"",4,"",1,""
"20200831","S08000019","Imaging","Non-obstetric ultrasound",1081,"",111,"",0,""
"20200930","S08000019","Imaging","Non-obstetric ultrasound",1091,"",78,"",0,""
"20201031","S08000019","Imaging","Non-obstetric ultrasound",914,"",4,"",0,""
"20201130","S08000019","Imaging","Non-obstetric ultrasound",912,"",31,"",0,""
"20201231","S08000019","Imaging","Non-obstetric ultrasound",987,"",74,"",0,""
"20210131","S08000019","Imaging","Non-obstetric ultrasound",1128,"",79,"",0,""
"20210228","S08000019","Imaging","Non-obstetric ultrasound",1628,"",279,"",1,""
"20210331","S08000019","Imaging","Non-obstetric ultrasound",1696,"",283,"",1,""
"20210430","S08000019","Imaging","Non-obstetric ultrasound",1742,"",305,"",1,""
"20210531","S08000019","Imaging","Non-obstetric ultrasound",1848,"",439,"",4,""
"20210630","S08000019","Imaging","Non-obstetric ultrasound",1845,"",508,"",57,""
"20210731","S08000019","Imaging","Non-obstetric ultrasound",1832,"",685,"",236,""
"20210831","S08000019","Imaging","Non-obstetric ultrasound",2001,"",662,"",245,""
"20210930","S08000019","Imaging","Non-obstetric ultrasound",2197,"",716,"",232,""
"20070930","S08000020","Endoscopy","Colonoscopy",229,"",153,"",95,""
"20071231","S08000020","Endoscopy","Colonoscopy",260,"",111,"",51,""
"20080131","S08000020","Endoscopy","Colonoscopy",241,"",97,"",60,""
"20080229","S08000020","Endoscopy","Colonoscopy",259,"",95,"",36,""
"20080331","S08000020","Endoscopy","Colonoscopy",206,"",84,"",26,""
"20080430","S08000020","Endoscopy","Colonoscopy",231,"",85,"",38,""
"20080531","S08000020","Endoscopy","Colonoscopy",257,"",100,"",39,""
"20080630","S08000020","Endoscopy","Colonoscopy",263,"",62,"",26,""
"20080731","S08000020","Endoscopy","Colonoscopy",239,"",67,"",20,""
"20080831","S08000020","Endoscopy","Colonoscopy",255,"",39,"",9,""
"20080930","S08000020","Endoscopy","Colonoscopy",309,"",107,"",26,""
"20081031","S08000020","Endoscopy","Colonoscopy",310,"",101,"",37,""
"20081130","S08000020","Endoscopy","Colonoscopy",281,"",80,"",20,""
"20081231","S08000020","Endoscopy","Colonoscopy",277,"",77,"",21,""
"20090131","S08000020","Endoscopy","Colonoscopy",285,"",42,"",0,""
"20090228","S08000020","Endoscopy","Colonoscopy",288,"",41,"",0,""
"20090331","S08000020","Endoscopy","Colonoscopy",265,"",36,"",0,""
"20090430","S08000020","Endoscopy","Colonoscopy",321,"",70,"",0,""
"20090531","S08000020","Endoscopy","Colonoscopy",270,"",90,"",1,""
"20090630","S08000020","Endoscopy","Colonoscopy",297,"",67,"",0,""
"20090731","S08000020","Endoscopy","Colonoscopy",348,"",89,"",0,""
"20090831","S08000020","Endoscopy","Colonoscopy",343,"",96,"",0,""
"20090930","S08000020","Endoscopy","Colonoscopy",396,"",117,"",0,""
"20091031","S08000020","Endoscopy","Colonoscopy",348,"",121,"",0,""
"20091130","S08000020","Endoscopy","Colonoscopy",406,"",145,"",0,""
"20091231","S08000020","Endoscopy","Colonoscopy",358,"",104,"",0,""
"20100131","S08000020","Endoscopy","Colonoscopy",369,"",126,"",0,""
"20100228","S08000020","Endoscopy","Colonoscopy",365,"",109,"",0,""
"20100331","S08000020","Endoscopy","Colonoscopy",382,"",0,"",0,""
"20100430","S08000020","Endoscopy","Colonoscopy",455,"",0,"",0,""
"20100531","S08000020","Endoscopy","Colonoscopy",538,"",0,"",0,""
"20100630","S08000020","Endoscopy","Colonoscopy",594,"",0,"",0,""
"20100731","S08000020","Endoscopy","Colonoscopy",565,"",0,"",0,""
"20100831","S08000020","Endoscopy","Colonoscopy",559,"",0,"",0,""
"20100930","S08000020","Endoscopy","Colonoscopy",537,"",0,"",0,""
"20101031","S08000020","Endoscopy","Colonoscopy",541,"",0,"",0,""
"20101130","S08000020","Endoscopy","Colonoscopy",510,"",0,"",0,""
"20101231","S08000020","Endoscopy","Colonoscopy",545,"",0,"",0,""
"20110131","S08000020","Endoscopy","Colonoscopy",591,"",0,"",0,""
"20110228","S08000020","Endoscopy","Colonoscopy",576,"",0,"",0,""
"20110331","S08000020","Endoscopy","Colonoscopy",610,"",0,"",0,""
"20110430","S08000020","Endoscopy","Colonoscopy",707,"",0,"",0,""
"20110531","S08000020","Endoscopy","Colonoscopy",798,"",0,"",0,""
"20110630","S08000020","Endoscopy","Colonoscopy",621,"",0,"",0,""
"20110731","S08000020","Endoscopy","Colonoscopy",652,"",0,"",0,""
"20110831","S08000020","Endoscopy","Colonoscopy",557,"",0,"",0,""
"20110930","S08000020","Endoscopy","Colonoscopy",423,"",0,"",0,""
"20111031","S08000020","Endoscopy","Colonoscopy",487,"",0,"",0,""
"20111130","S08000020","Endoscopy","Colonoscopy",465,"",0,"",0,""
"20111231","S08000020","Endoscopy","Colonoscopy",576,"",0,"",0,""
"20120131","S08000020","Endoscopy","Colonoscopy",457,"",0,"",0,""
"20120229","S08000020","Endoscopy","Colonoscopy",413,"",0,"",0,""
"20120331","S08000020","Endoscopy","Colonoscopy",396,"",0,"",0,""
"20120430","S08000020","Endoscopy","Colonoscopy",513,"",0,"",0,""
"20120531","S08000020","Endoscopy","Colonoscopy",559,"",0,"",0,""
"20120630","S08000020","Endoscopy","Colonoscopy",602,"",0,"",0,""
"20120731","S08000020","Endoscopy","Colonoscopy",479,"",0,"",0,""
"20120831","S08000020","Endoscopy","Colonoscopy",535,"",0,"",0,""
"20120930","S08000020","Endoscopy","Colonoscopy",480,"",0,"",0,""
"20121031","S08000020","Endoscopy","Colonoscopy",367,"",0,"",0,""
"20121130","S08000020","Endoscopy","Colonoscopy",316,"",0,"",0,""
"20121231","S08000020","Endoscopy","Colonoscopy",343,"",0,"",0,""
"20130131","S08000020","Endoscopy","Colonoscopy",329,"",0,"",0,""
"20130228","S08000020","Endoscopy","Colonoscopy",334,"",0,"",0,""
"20130331","S08000020","Endoscopy","Colonoscopy",410,"",0,"",0,""
"20130430","S08000020","Endoscopy","Colonoscopy",460,"",0,"",0,""
"20130531","S08000020","Endoscopy","Colonoscopy",391,"",0,"",0,""
"20130630","S08000020","Endoscopy","Colonoscopy",376,"",0,"",0,""
"20130731","S08000020","Endoscopy","Colonoscopy",379,"",2,"",0,""
"20130831","S08000020","Endoscopy","Colonoscopy",411,"",1,"",0,""
"20130930","S08000020","Endoscopy","Colonoscopy",527,"",13,"",3,""
"20131031","S08000020","Endoscopy","Colonoscopy",557,"",4,"",4,""
"20131130","S08000020","Endoscopy","Colonoscopy",553,"",0,"",0,""
"20131231","S08000020","Endoscopy","Colonoscopy",550,"",17,"",5,""
"20140131","S08000020","Endoscopy","Colonoscopy",562,"",42,"",29,""
"20140228","S08000020","Endoscopy","Colonoscopy",619,"",57,"",48,""
"20140331","S08000020","Endoscopy","Colonoscopy",692,"",386,"",154,""
"20140430","S08000020","Endoscopy","Colonoscopy",807,"",509,"",417,""
"20140531","S08000020","Endoscopy","Colonoscopy",669,"",411,"",335,""
